"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Susan Christie";"Rainy Day";"5EcJVGwKFhAu7bER8xsPFS";"190";"1969";"37";"2023-07-09"
"Wigwam";"Let The World Ramble On";"5qvig4EMgVFWNw83BiDLdM";"198";"1970";"33";"2023-07-09"
"Litku Klemetti";"En elä";"7aAPNVeA8xUEtcIs8XXdMO";"242";"2022";"32";"2023-07-09"
"Alain Goraguer";"Générique (I)";"54gGYrE6gtxv9cXh3xiWKC";"126";"2005";"40";"2023-07-09"
"Colin Stetson";"When we were that what wept for the sea";"3FkMRMqEaLnaOnvVHB5US9";"348";"2023";"41";"2023-07-09"
"Brian Eno";"Who Gives a Thought";"0IqZcNlUn3LALc6zwo1wxV";"240";"2022";"34";"2023-07-09"
"Beaver & Krause";"By Your Grace";"579p22QFJ8bkdQLXp0VBy7";"314";"2005";"34";"2023-07-09"
"Dana Gillespie";"Andy Warhol";"58YnFSfPGDFPmRRCya5IMA";"184";"2009";"34";"2023-07-09"
"Antti Autio";"Lisää ääntä";"29Du80uLbafI2rHi7mPIhH";"262";"2022";"32";"2023-07-09"
"Kissa";"Sä oot paha";"58xfMOUteF645iuPOKJUlF";"175";"2023";"30";"2023-07-09"
"Thomas Bangalter";"Bangalter: Mythologies: X. L'Accouchement";"779uJSOR2oXPe6qoT3SOmM";"343";"2023";"33";"2023-07-09"
"Reginald Chapman";"There Is This Thing";"4BJXQzDh3hoE1PVe0UJzdn";"220";"2023";"45";"2023-07-09"
"Kaseva";"Syksy";"05n6OH5BThNZ9qkZPoB8PV";"292";"2002";"36";"2023-07-09"
"Archie Shepp";"Dr. King, The Peaceful Warrior";"0MKeNeFMYuSCv3PAoAammD";"150";"1971";"37";"2023-07-09"
"Lyyti";"Ennätyshelteet";"4Lwxninwlf1G6Cloc83MnX";"204";"2022";"41";"2023-07-09"
"Merit Hemmingson";"Gånglåt från Ovanåker";"2jD97FDc6rk6HFToGEZq1n";"125";"1971";"36";"2023-07-09"
"Sea Power";"Instrument of Surrender";"1PQW0obqVPcc4RveCG1VAh";"325";"2020";"44";"2023-07-09"
"Bruce Haack";"Cherubic Hymn";"6NmNI3VbKi8uPouUbaMUYr";"140";"2016";"37";"2023-07-09"
"Noel Gallagher's High Flying Birds";"Dead To The World";"3BxqGhJzbLFzpMy42TqQlZ";"254";"2023";"29";"2023-07-09"
"Oscar Jerome";"The Dark Slide";"7LBIFQtBlwdKCOEfZGi3e4";"72";"2022";"36";"2023-07-09"
"Absoluuttinen nollapiste";"Eräät tulevat juosten";"1b7Ikm1qHjYLkfOt6eGJpU";"293";"2002";"35";"2023-07-09"
"John Cale";"MERCY";"1S5KEj2FV5TJAoHJaXHmC0";"420";"2023";"31";"2023-07-09"
"Danny Gatton";"Harlem Nocturne";"0wdIEbrEvcHMiOcLPcMkF4";"287";"1993";"34";"2023-07-09"
"Here It Is";"Here It Is (feat. Peter Gabriel)";"4I2FRlL3uEiQlC2onvlYNH";"313";"2022";"39";"2023-07-09"
"Sirokkó zenekar";"Szerelem";"5lM3LarN1g54FpdGnLO6u9";"74";"2021";"40";"2023-07-09"
"M";"Sinun omasi";"2PhnKQwsn3RIVrxiRCNQOK";"248";"2022";"29";"2023-07-09"
"Daniel Rossen";"It's A Passage";"2AEfMWp1FGvgjASlFPqu8K";"238";"2022";"36";"2023-07-09"
"Robert Stillman";"It's All Is";"0CbQpokPLu2TrHzLjv4snw";"159";"2022";"39";"2023-07-09"
"Hot Chip";"Line In The Sand";"6J4POnSPt3RcoWW5zUHVtl";"183";"2023";"43";"2023-07-09"
"Total Refreshment Centre";"Plight";"4loVh2AjwDNldgeX3PBS8d";"453";"2023";"33";"2023-07-09"
