"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Wet Leg";"Being In Love";"4VBE0mwU8Nmm8hiqfCe4Ve";"122";"2022";"62";"2023-09-24"
"Sadistic Mika Band";"黒船(嘉永6年6月2日)";"1G7xEvRi2vLTfmFyNLenvO";"51";"1974";"25";"2023-09-24"
"Pacifica";"With Or Without You";"1Hl2Pkqh8ErHoYNWcnLXEB";"154";"2023";"44";"2023-09-24"
"Faust";"Cavaquiñho";"3pVFTQLy4qkZ3NQ4bBrdp7";"60";"2014";"40";"2023-09-24"
"Prima Queen";"Dylan";"4CzpXqvheSXrFox35m4c4M";"176";"2023";"38";"2023-09-24"
"Lau Noah";"If a tree falls in love with a river";"4zsxXFyX1D4s0KKU3uFCSl";"198";"2023";"38";"2023-09-24"
"Asteroid City Cast";"Dear Alien (Who Art In Heaven)";"7Iu6YHPu2WMPdIiBkjVHed";"82";"2023";"33";"2023-09-24"
"Billy Cobham";"The Moon Ain't Made of Green Cheese";"1jjQRESM2K6lqNxdiQjDVN";"58";"1974";"50";"2023-09-24"
"John Roseboro";"Waters of March";"14YAS5RajiY0lthkWiOzjG";"231";"2023";"42";"2023-09-24"
"Wasia Project";"My Lover Is Sleeping";"0Y6DKikmdIIpDBUhUuxa8R";"227";"2023";"53";"2023-09-24"
"Dungen";"Aladdin och lampan, del 2";"1kgmvfVeryf8qbJUfNC5Fu";"72";"2016";"38";"2023-09-24"
"Ray Davies";"Waterloo Sunset";"4TuvM1n4SkUZLEwAjdgXB9";"160";"2002";"34";"2023-09-24"
"Gretel Hänlyn";"King of Nothing";"3A8zf3SB7ia8oMpqqnCRHl";"149";"2023";"34";"2023-09-24"
"Wunderhorse";"Butterflies";"6jD1XCmOrPYs0LnC787bRj";"205";"2022";"43";"2023-09-24"
"Picture Parlour";"Norwegian Wood";"50Wusuhe7GBuOr5xGZlyGe";"214";"2023";"43";"2023-09-24"
"Tegan and Sara";"Girls Talk";"5AagD3q2xou4xdeCOG9mtg";"205";"2023";"37";"2023-09-24"
"Owen Beverly";"For Mia";"5axVE9QWcc2HtZBLjB6uWQ";"232";"2003";"28";"2023-09-24"
"English Teacher";"Song About Love";"0qeupsSDLPTk2j8aU8prNI";"223";"2023";"32";"2023-09-24"
"Indigo De Souza";"Younger & Dumber";"402UQOMW2rIhwSVZBfxJt8";"279";"2023";"40";"2023-09-24"
"Petter Eldh";"Kali Koma";"4gqfQwRM8Gj77mH3Pazwas";"91";"2019";"30";"2023-09-24"
"Brand X";"Maybe I'll Lend You Mine After All";"0AN6Sx6PdmW2j7M2aGQjSj";"130";"1977";"38";"2023-09-24"
"Nucleus";"Taranaki";"40RU8OpIByeyV1nfploNJY";"96";"1970";"41";"2023-09-24"
"Arlo Parks";"Bruiseless";"4zBJrqrXvoi1Z2kIzwatgF";"72";"2023";"54";"2023-09-24"
"Pip Blom";"Is This Love?";"2qniUr523yjUKD8EJRe7LP";"212";"2023";"39";"2023-09-24"
"Saya Gray";"DIZZY PPL BECOME BLURRY";"6aUgDqwXY6GqcHKvj3hSvv";"118";"2023";"39";"2023-09-24"
"Flyte";"Tough Love";"4kGGQubXF1b4yut3zwKQ1h";"182";"2023";"52";"2023-09-24"
"Emily Remler";"A Taste Of Honey";"3iHNiBlXOwXJAFvWU6poMH";"133";"1981";"40";"2023-09-24"
"Unloved";"I did it.";"1TCeuK5RTqVn94eTwca4DO";"203";"2023";"28";"2023-09-24"
"Basil Kirchin";"Primitive London 1";"2kO0iWCyJSJtJDUU4rQAne";"158";"2011";"29";"2023-09-24"
"Jeff Buckley";"Vancouver";"3EpttYJLCx0QCqDDhr1aPR";"193";"1998";"50";"2023-09-24"
