"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"PJ Harvey";"Who by Fire";"7HE5mzbTRJ6HFIPMVHM5od";"135";"2022";"34";"2023-10-15"
"Wet Leg";"Being In Love";"4VBE0mwU8Nmm8hiqfCe4Ve";"122";"2022";"63";"2023-10-15"
"Skinny Pelembe";"Who By Fire";"2L1f1Z7lUleocWWWg4JRKR";"179";"2023";"42";"2023-10-15"
"Zimmerman";"How Much I Love You";"0oAdCOqagIm764khQt5P7w";"178";"2023";"34";"2023-10-15"
"Corinne Bailey Rae";"New York Transit Queen";"6yJkO476ilaoawcOVa0JqD";"109";"2023";"41";"2023-10-15"
"Natalie Merchant";"Tower of Babel";"2s70AL69BjHU7y9aABGDUL";"149";"2023";"49";"2023-10-15"
"Nouvelle Vague";"The Killing Moon";"1V1y0nokTUqjoFB5i2LZAo";"219";"2006";"48";"2023-10-15"
"Danielle Ponder";"Roll The Credits";"03WIi0grexVN7XZ8zXz3L0";"253";"2023";"36";"2023-10-15"
"Tia Blake";"Wish I Was a Single Girl Again";"6NQI1NOzJci3EKqZhn3sxB";"155";"1972";"42";"2023-10-15"
"ANOHNI";"Sliver of Ice";"3Jbgr9lr2j3K22dZh9VYcx";"222";"2023";"44";"2023-10-15"
"Sparklehorse";"It Will Never Stop";"1yprTszKJOxznAEzNT0trw";"110";"2023";"44";"2023-10-15"
"Simon & Garfunkel";"April Come She Will";"0djZ2ndRfAL69WYNra5jRC";"109";"1966";"69";"2023-10-15"
"Arlo Parks";"Devotion";"5IcivgTMTJQFxh0ug2sg65";"166";"2023";"56";"2023-10-15"
"Noah Yorke";"Cerebral Key";"5r04RHUXIUzDvYfAEHaSq8";"222";"2023";"35";"2023-10-15"
"Thee Sacred Souls";"Running Away";"34VDj911PQh8B1BXYoOMLq";"195";"2023";"59";"2023-10-15"
"Do Nothing";"Nerve";"5tMwOWVy6qA2Cesg6OqSuE";"183";"2023";"41";"2023-10-15"
"Flyte";"Tough Love";"4kGGQubXF1b4yut3zwKQ1h";"182";"2023";"57";"2023-10-15"
"Anna Erhard";"170";"1ih7GUVNR3pb2k8BXdollB";"189";"2023";"37";"2023-10-15"
"Tír na nÓg";"Daisy Lady - 2012 Remaster";"3E6G7WqsnOh6rWanwcSO7w";"138";"1971";"41";"2023-10-15"
"Micah P. Hinson";"Ignore the Days";"6lXTGkDn7tTNR38b7Spqgs";"210";"2022";"33";"2023-10-15"
"Loverman";"Differences Aside";"0olICfJFNxKfPeZtNgPa7G";"235";"2023";"45";"2023-10-15"
"Robert Wyatt";"Shipbuilding - Remastered in 1998";"7iG5yQkIIrd39mYWU2vT2b";"184";"1999";"37";"2023-10-15"
"First Aid Kit";"Everybody's Got to Learn";"6z0WgAtsvXR8zXH454CLtZ";"233";"2023";"51";"2023-10-15"
"Billie Marten";"I Can't Get My Head Around You";"72TRVAfkS1BeMgkbPPBa19";"206";"2023";"49";"2023-10-15"
"Orville Peck";"This Masquerade";"6NqwctQ0JPaXCwXKZk5wDL";"193";"2023";"45";"2023-10-15"
"Dina Ögon";"Mormor";"5bBv5AEyN9Fq9tw0dCLdj3";"240";"2023";"48";"2023-10-15"
"Sorry";"Screaming In The Rain Again";"0jsh4swhkkj6L4MAnwGWqS";"188";"2023";"43";"2023-10-15"
"Prima Queen";"Back Row";"77zddEmVpZt9EIOUt6urSv";"175";"2023";"38";"2023-10-15"
"The Leisure Society";"Brave Are the Waves";"6kKeHrBbkc3atBtbVHrIVq";"141";"2023";"38";"2023-10-15"
"Sylvie";"Further Down the Road";"0U937D0sEO7pVvJgu2JZHa";"219";"2021";"33";"2023-10-15"
