"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Paramore";"Burning Down the House";"3pRCHHfwYNVCOjWSrkGNw1";"218";"2024";"59";"2024-10-20"
"Brittany Howard";"What Now";"1WAjkljaKkFILaxlsGlSfh";"227";"2024";"42";"2024-10-20"
"Warpaint";"Common Blue";"4ywML3rFjamKeKg1GE689X";"231";"2024";"46";"2024-10-20"
"The National";"Heaven";"3R0iA3AlPcpvfwYIoUTVRx";"257";"2024";"41";"2024-10-20"
"Lady Blackbird";"Let Not (Your Heart Be Troubled)";"5yXPNJX2VDegRliiqdLz4I";"266";"2024";"38";"2024-10-20"
"Tom Waits";"Get Behind The Mule - Spiritual";"521rEGtD4F0RCE7fAZzYh7";"251";"2024";"38";"2024-10-20"
"Lionlimb";"Dream of You";"3zTwW6LqsYNdheu9bOIISV";"238";"2024";"29";"2024-10-20"
"Norah Jones";"All This Time";"67Y1yh3VmubMkvYmO7X5h0";"196";"2024";"41";"2024-10-20"
"Michael Kiwanuka";"Floating Parade";"4mv58j67K96UMIeYvpffHB";"230";"2024";"60";"2024-10-20"
"CMAT";"Aw, Shoot!";"4D7db0sTmEWYf9aAzCJl9c";"208";"2024";"50";"2024-10-20"
"IDLES";"Grace";"0UWLqOtqAd0JRUYgoJBb9w";"233";"2024";"51";"2024-10-20"
"BADBADNOTGOOD";"This Must Be the Place (Naive Melody)";"5rO40jEetaPNDTzHSvGzVz";"271";"2024";"41";"2024-10-20"
"Prince";"Silver Tongue";"0Qxsuh1NoCMWDYVfC49XRE";"263";"2024";"39";"2024-10-20"
"English Teacher";"The World’s Biggest Paving Slab";"0QZwfrjDdVGKjKfIzopBfL";"186";"2024";"53";"2024-10-20"
"Arooj Aftab";"Whiskey";"2ZeVYOdBt4wqY5u7T54yWT";"307";"2024";"36";"2024-10-20"
"Thom Yorke";"Knife Edge";"53rYNxof2dWXRnH0bqKiQ2";"200";"2024";"43";"2024-10-20"
"Yannis & The Yaw";"Walk Through Fire";"1Mdmg7rBIqT1FxAge95Xmx";"204";"2024";"45";"2024-10-20"
"ANOHNI";"Sliver of Ice";"3Jbgr9lr2j3K22dZh9VYcx";"222";"2023";"34";"2024-10-20"
"Pixies";"Chicken";"0nEVjbu58y0cghChyOoxW8";"263";"2024";"47";"2024-10-20"
"King Hannah";"Big Swimmer";"3msstebr0HfNT4kdJexWXe";"322";"2024";"44";"2024-10-20"
"Fontaines D.C.";"Romance";"4DE8iIHNUYpAmilzPdAGoT";"154";"2024";"63";"2024-10-20"
"Corinne Bailey Rae";"New York Transit Queen";"6yJkO476ilaoawcOVa0JqD";"109";"2023";"28";"2024-10-20"
"The Decemberists";"Burial Ground";"5dzIwdTUmRpwKuRAWBtwhl";"245";"2024";"42";"2024-10-20"
"Jessica Pratt";"Life Is";"7I20yqgoGEEfXBK8YNICJ8";"188";"2024";"48";"2024-10-20"
"Garbage";"Song to the Siren";"5ebyPkIzYSFHmzZtdVBOZm";"256";"2024";"26";"2024-10-20"
"James McCartney";"Primrose Hill";"6VJRRJ710UFTUUNYuPSzah";"192";"2024";"29";"2024-10-20"
"Blur";"The Ballad";"7l6hvTRyX52kg6q4zNIfQA";"217";"2023";"39";"2024-10-20"
"Youth Lagoon";"Football";"3rnMROSxN8mkZebMW5PpBb";"205";"2024";"40";"2024-10-20"
"WILLOW";"home (feat. jon batiste)";"0GypaBmhyN8666FikwVlgt";"183";"2024";"46";"2024-10-20"
"Sleater-Kinney";"Say It Like You Mean It";"2EgYIE84KYjf52Sw2WW4x4";"225";"2024";"33";"2024-10-20"
