"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Badfinger";"Without You - Remastered 2010";"1VrIr1toXX6bOSdotodB71";"283";"1970";"47";"2023-12-24"
"The Motels";"Total Control";"6H1Kjxu2NlJCMxg0Pay0Rd";"354";"1979";"48";"2023-12-24"
"Frank Zappa";"The Closer You Are";"6k6vrptMbZBWqcQqmVtDkZ";"182";"1984";"30";"2023-12-24"
"The Roches";"Come Softly to Me";"0rPLLyaJFiHzPac4eeHbtH";"182";"1985";"30";"2023-12-24"
"The Breath";"Land of My Other";"5eQc7tNv6g4WyRFGc9DBKZ";"214";"2023";"30";"2023-12-24"
"The Zombies";"Summertime";"49TIT8O6KR9rdfgVBwdbac";"138";"1965";"58";"2023-12-24"
"The Lovin' Spoonful";"Didn't Want To Have To Do It";"257YFNPcDJUp8c7v1q8hPp";"156";NA;"41";"2023-12-24"
"Aretha Franklin";"Let It Be";"3lv9TUA15PFRHtMaPhjKKj";"210";"2007";"57";"2023-12-24"
"Jane Birkin";"Harvest Moon";"7sx41M0GEQPLMYt3FjCnSw";"185";"2006";"53";"2023-12-24"
"Fred Neil";"Everybody's Talkin'";"5yZzLyY9SMI3ZjdqpXWYDp";"165";"1966";"44";"2023-12-24"
"Odetta";"Every Night";"4zEyzhp2m7NxfluZXQzogq";"189";"1970";"31";"2023-12-24"
"Bill Fay";"Love Will Remain";"5Qfx0nZ1puRWvXdBoXjneE";"145";"2020";"30";"2023-12-24"
"The Velvet Underground";"Stephanie Says";"341b9JIDHZ3oaMVNwS0OsA";"169";"1985";"55";"2023-12-24"
"Carole King";"Come Down Easy";"4WhYHtwrNzjloBMdLOeK4o";"186";"1972";"32";"2023-12-24"
"Neil Young";"Journey Through the Past";"73uAQw29X3mrO1taWZaOvm";"142";"2014";"56";"2023-12-24"
"Kath Bloom";"Come Here";"2A1bDBDHoKTTmyALQJ7zqU";"171";"2006";"47";"2023-12-24"
"Ace";"How Long";"6Wgst4P9SOnc6WGLtfTb1z";"204";"1974";"62";"2023-12-24"
"J.J. Cale";"Magnolia";"43sdRsmJFcSnlTWTVRhYtz";"204";"1972";"57";"2023-12-24"
"Art Garfunkel";"Waters of March";"0bgtlqjzKW4KXufOlzGsKT";"219";NA;"48";"2023-12-24"
"The Cranberries";"Pretty";"3mayeyaPg5DQGBa78LJM59";"136";"1993";"56";"2023-12-24"
"Judy Collins";"Both Sides Now";"2xSfwtV4mUr2h63Q1zJH58";"196";"1967";"51";"2023-12-24"
"The Kinks";"This Strange Effect (Live at Aeolian Hall, 1965)";"1d1ecarY2bBa2orOcHFCIa";"154";"1965";"44";"2023-12-24"
"This Mortal Coil";"You And Your Sister - Remastered";"6y234mJkt0DEh39NxZ4uZ6";"194";"1991";"42";"2023-12-24"
"Shuggie Otis";"Strawberry Letter 23";"4W8IEREeLldaSQyGXcZQ2I";"240";"1971";"60";"2023-12-24"
"Peter, Paul and Mary";"Don't Think Twice, It's All Right";"7IsXXgpowAB48crGjV1oGb";"196";"1963";"56";"2023-12-24"
"Louis Armstrong";"We Have All The Time In The World - Remastered";"0OAnoLrIVxpdne3mkVLrwr";"196";"2003";"55";"2023-12-24"
"Julie London";"Yummy, Yummy, Yummy";"3UqjrFV1Tq9MMTtA74oDji";"178";"1968";"30";"2023-12-24"
"Ralph McTell";"Summer Lightning";"0VeesmUPyiWu0oKkYxmmBU";"154";"2010";"29";"2023-12-24"
"Mazzy Star";"Halah";"6JuEshIRliNXRU1LXctRjZ";"196";"1990";"65";"2023-12-24"
"Paul McCartney";"Every Night - 2011 Remaster";"7zE7VClzAEYa9nUDC950pT";"153";"1970";"58";"2023-12-24"
