"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Jalen Ngonda";"If You Don't Want My Love";"4A48ckONJNoXU5smWT9CeG";"147";"2023";"73";"2024-04-14"
"ØXN";"Cruel Mother";"3cEpQH9iDYp0WZ8vQO8GFh";"569";"2023";"30";"2024-04-14"
"Kate Bush";"Snowflake - 2018 Remaster";"21FKjWeXnJecoU2jRLk6lb";"587";"2011";"34";"2024-04-14"
"Silvertwin";"Promises";"6soEXdHuEw4KoamoqHE0yA";"246";"2021";"41";"2024-04-14"
"Chet Atkins";"Do I Ever Cross Your Mind";"0Gc5rsNFs2l5TKxeSLAYyK";"159";"2001";"45";"2024-04-14"
"Sufjan Stevens";"Everything That Rises";"7fai4Q1FhzPPMLnooY7RM8";"300";"2023";"48";"2024-04-14"
"Norma Tanega";"You're Dead";"72T5smavl9ONfOwI0gHf1A";"143";"1966";"58";"2024-04-14"
"Sam Lee";"The Moon Shines Bright";"5pAa23tnp3FpsXJFGO5ry2";"254";"2019";"29";"2024-04-14"
"Natalie Bergman";"Keep Those Teardrops from Falling";"34ojZaWg4BOqIL58M5CneC";"165";"2021";"54";"2024-04-14"
"Little Moon";"wonder eye";"1kQ1cJUgTLbdo3E7AKnCSW";"245";"2023";"36";"2024-04-14"
"FIZZ";"Close One";"4mL3gs1HONGGLaZyW6OYMq";"236";"2023";"47";"2024-04-14"
"Connie Converse";"Talkin' Like You (Two Tall Mountains)";"3Zg3CUlhF033CIndULylsj";"151";"2009";"42";"2024-04-14"
"Penguin Cafe Orchestra";"Air À Danser - Remastered 2008";"0IrlxNMQc5NzlR1cQgXhwZ";"271";"1981";"38";"2024-04-14"
"Infinity Song";"Metamorphosis";"205Dyp6IqtOcYRX72QvbB7";"270";"2023";"55";"2024-04-14"
"säje";"Desert Song";"764CIE1R74FxP6WDpduZq3";"241";"2023";"30";"2024-04-14"
"Stornoway";"Bag in the Wind";"2zll9SRcFk1HkZHJcRs1gi";"201";"2023";"27";"2024-04-14"
"Lesley Duncan";"Love Song";"4f7yx3CPVq3M8RIeZrrAes";"219";"2001";"29";"2024-04-14"
"Yo La Tengo";"My Little Corner of the World";"7i0TA0w5sGJ2jHFwy11Ui0";"146";"1997";"16";"2024-04-14"
"Drugdealer";"Pictures of You";"2cAZ6Pxbq34h5rgUr7hZKC";"189";"2022";"63";"2024-04-14"
"Ketty Lester";"Love Letters";"7uqrG7OormbZVoLhFY9bLx";"157";"1961";"42";"2024-04-14"
"Linda Perhacs";"Hey, Who Really Cares";"1EY7zEIE32twYy7zL05WG2";"157";"1970";"52";"2024-04-14"
"Brigitte Calls Me Baby";"Eddie My Love";"1e30gnAROOzY0jvOlQT8bL";"201";"2023";"35";"2024-04-14"
"Buffy Sainte-Marie";"Until It's Time For You To Go";"0IKY0jHhVYL60lhEQJDjqA";"151";"1987";"36";"2024-04-14"
"Muireann Bradley";"Candyman";"7FzPNwiNWjttQvavUtZv2g";"228";"2023";"36";"2024-04-14"
"IDLES";"Dancer";"5MP8QCjsJQPJ5ApdHMg3dl";"189";"2024";"63";"2024-04-14"
"Loren Kramar";"Hollywood Blvd";"2MoxisG7xbRncMyg0xhtNj";"295";"2024";"33";"2024-04-14"
"Sunhouse";"Crazy On The Weekend";"1GpzwuXL7m5u8c8jeks3hU";"125";"1998";"32";"2024-04-14"
"Matt Berry";"Take My Hand";"6n4iuOHAOIu5LtbXBKrD0f";"191";"2011";"45";"2024-04-14"
"Colin Blunstone";"Say You Don't Mind";"20mUVwCxR1x2d5SuBRGW1F";"202";"1971";"36";"2024-04-14"
"Elisapie";"Sinnatuumait (Dreams)";"03dkWkSwq8FWDOxOG70Uk8";"267";"2023";"35";"2024-04-14"
