"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Black Country, New Road";"Up Song - Live at Bush Hall";"3b6suhvxtWPIF0tZe5xDCL";"260";"2023";"49";"2023-08-20"
"Joni Mitchell";"Woodstock";"7iiOJLZuky8CLrxeyRrxWo";"227";"1992";"36";"2023-08-20"
"Angel Olsen";"Nothing's Free";"7vLdUdtQinRrLEZdmocQLS";"279";"2023";"40";"2023-08-20"
"Air";"Realize";"2CsAivVfVIRmxWTfxVCC3K";"229";"1971";"40";"2023-08-20"
"Rotary Connection";"Sunshine Of Your Love";"042rVeIq5tJipJyoNYsw0a";"306";"1969";"31";"2023-08-20"
"Focus";"Le Clochard";"7uYpStTIyAQErtv9J9oj8F";"121";"1971";"47";"2023-08-20"
"Paul Williams";"Someday Man";"3EOwnwDlzhzbPQQScJDyNC";"173";"1970";"27";"2023-08-20"
"The Big Moon";"2 Lines";"1i4nDDv1ZBFKqTUWoJRulv";"240";"2022";"38";"2023-08-20"
"U.S. Girls";"Only Daedalus";"4G4mwvQFMNZ3VEJVDqw2AF";"209";"2023";"21";"2023-08-20"
"Galen & Paul";"Lonely Town";"2PzLjb1JVk9ilQh7MS8Aq3";"136";"2023";"34";"2023-08-20"
"Say She She";"Fortune Teller";"2G01T828C7rQXDjn0v24Ku";"200";"2022";"46";"2023-08-20"
"CVC";"Sophie";"2CuvDLvce1lu69DIsZINKe";"234";"2023";"48";"2023-08-20"
"Queens of the Stone Age";"Carnavoyeur";"3XaQQKhU2pumYcya8Xypro";"236";"2023";"63";"2023-08-20"
"The Beach Boys";"Busy Doin' Nothin' - Remastered 2001";"2Aa4hzf5chRPASeuNalOV4";"186";"1968";"36";"2023-08-20"
"Sharon Van Etten";"I Don't Want to Set the World on Fire - From ""A Small Light: Episode 3""";"7vR0WhCyZHAPcud0x6jM9T";"187";"2023";"34";"2023-08-20"
"McKinley Dixon";"Run, Run, Run";"4zB6597YseAWpXXUQpgb3M";"182";"2023";"27";"2023-08-20"
"Peter Gabriel";"Playing For Time - Dark-Side Mix";"4EzzZaunP8AFmQi90mrYZD";"378";"2023";"42";"2023-08-20"
"Morrissey";"Rebels Without Applause";"0ydQtiT94YMzEBlqvBITvh";"205";"2022";"43";"2023-08-20"
"New Order";"Elegia - Full Length Version; 2022 Digital Master";"4kIEH2w2Hg3kU90V0P2yt6";"1051";"2023";"32";"2023-08-20"
"Stereolab";"The Free Design";"2Z8nBQ71zK5aUUTIwcaCnf";"228";"1999";"33";"2023-08-20"
"Yard Act";"The Trench Coat Museum";"784HPjRj1dFr1XfdEnJfI0";"492";"2023";"53";"2023-08-20"
"Thomas Dolby";"Dissidents";"3HMedgzM3InOVP88n5SKIh";"296";"1984";"31";"2023-08-20"
"Buddy Miles";"I Still Love You, Anyway";"5idolehtcFFPTj9QtoMHCP";"253";"1970";"34";"2023-08-20"
"Judee Sill";"The Pearl - Remastered";"5DClsXGaa8CuHwxBeGJlyA";"115";"1973";"32";"2023-08-20"
"Matching Mole";"Signed Curtain";"2KCFRtTBJwZiLvWE4kab9i";"183";"1972";"24";"2023-08-20"
"Flea";"Lovelovelove";"4zT2e0Y4whBSvuKzJaChbd";"212";"2012";"48";"2023-08-20"
"Young Fathers";"I Saw";"5wDEOCfVVAqkdjkrSwDwGJ";"207";"2023";"53";"2023-08-20"
"Carpenters";"All I Can Do";"7HXn6tMBrsQrIJHu5a1MMA";"101";"1969";"38";"2023-08-20"
"Girl Ray";"Everybody's Saying That";"6T7ADW4qb3hrqXrSuQOdW4";"194";"2023";"38";"2023-08-20"
"The Bees";"Punchbag";"6w3gsIP6aC9uaPxpZpPEYi";"221";"2001";"34";"2023-08-20"
