"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Nick Cave & The Bad Seeds";"Wild God";"6d2JJCLcg02uteyuvFVmCq";"319";"2024";"47";"2024-07-21"
"James McCartney";"Primrose Hill";"6VJRRJ710UFTUUNYuPSzah";"192";"2024";"35";"2024-07-21"
"Labi Siffre";"Crying, Laughing, Loving, Lying";"28UWzdVYFe36w0GwDJlIwJ";"183";"1972";"53";"2024-07-21"
"Joni Mitchell";"Both Sides Now - Live at the Newport Folk Festival, Newport, RI, 7/24/2022";"57upfTI18EY3d5V0sv1WuC";"340";"2023";"30";"2024-07-21"
"Rubi Ate the Fig";"In the Garden";"0RydYgXZ5dishJq9CkKbZA";"278";"2023";"28";"2024-07-21"
"Lisa O'Neill";"Old Note";"7qK4lwgerNrajklBJPXlJI";"368";"2023";"39";"2024-07-21"
"Andrew Bird";"I Fall in Love Too Easily";"4ARqU3JF48LKnSend0AZHN";"239";"2024";"38";"2024-07-21"
"The Leisure Society";"Brave Are the Waves";"6kKeHrBbkc3atBtbVHrIVq";"141";"2023";"34";"2024-07-21"
"The Blue Nile";"The Downtown Lights";"38TMvbDxQCQJm9nzHqmpiK";"391";"1989";"48";"2024-07-21"
"Nick Cave";"La Vie En Rose (The New Look: Season 1 (Apple TV+ Original Series Soundtrack))";"5aYUBGkNlFZkbP8u61Zcco";"235";"2024";"34";"2024-07-21"
"Katherine Priddy";"Does She Hold You Like I Did";"3Lz6a9IcThhu3ZfKCZP5Rq";"245";"2024";"24";"2024-07-21"
"Lorde";"Take Me to the River";"5vmYMS6FR2b7J57OG0Cscl";"264";"2024";"59";"2024-07-21"
"St. Vincent";"Broken Man";"1kgLXgHrXecZyRCDROfAPb";"202";"2024";"53";"2024-07-21"
"Brian Eno";"All I Remember";"1AkWtJQjphlvoZ3DvLQCrZ";"232";"2024";"33";"2024-07-21"
"Linda Thompson";"Darling This Will Never Do";"0gQXZdjWPJEQZVIKzQrGaO";"191";"2024";"26";"2024-07-21"
"The National";"Heaven";"3R0iA3AlPcpvfwYIoUTVRx";"257";"2024";"51";"2024-07-21"
"Chris Brain";"Golden Days";"1c2z4XUT98reIuuUk3NoXc";"170";"2023";"29";"2024-07-21"
"The Chieftains";"The Magdalene Laundries";"2tUzZiFwDCpIx6Hfa8ofoW";"298";"1999";"33";"2024-07-21"
"Johnny Flynn";"Coins for the Eyes";"48sFs6OqvpbUyxv86Cg2zi";"263";"2023";"32";"2024-07-21"
"Nouvelle Vague";"This Charming Man";"5IJweqWW3OaSwnms9PIjSI";"200";"2024";"26";"2024-07-21"
"Elbow";"We Have All The Time In The World - Live With The BBC Concert Orchestra";"3it2G29yLnDwtlFbtxls5E";"196";"2024";"27";"2024-07-21"
"Graham Nash";"Our House - Demo";"0vItJLwvxJzu5PPw6o62A6";"163";"1970";"46";"2024-07-21"
"Susan Christie";"Rainy Day";"5EcJVGwKFhAu7bER8xsPFS";"190";"1969";"33";"2024-07-21"
"King Creosote";"Ides";"6rFwweh36fKLVMWBiJXYPn";"245";"2023";"24";"2024-07-21"
"The Decemberists";"Burial Ground";"5dzIwdTUmRpwKuRAWBtwhl";"245";"2024";"49";"2024-07-21"
"Villagers";"You Lucky One";"5sTcB227je1ByKWTEBj2me";"295";"2024";"38";"2024-07-21"
"Eddie Vedder";"Save It For Later";"2rs6UMzlu1pMGGVw60tiHm";"262";"2024";"62";"2024-07-21"
"Georgia Ruth";"Driving Dreams";"07Oo077QVS9hTW4Obmu9bL";"287";"2024";"16";"2024-07-21"
"Ed Askew";"Moon in the Mind";"3n1qeOo5BtUBLfEQMSLpSD";"382";"2013";"36";"2024-07-21"
"Grace Cummings";"On and On";"2BdgbJnOLYVjDfR6eBbxQ4";"233";"2024";"25";"2024-07-21"
