"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"King Creosote";"Blue Marbled Elm Trees";"71wTcC03dBgJv3Xwkl5C7l";"303";"2023";"43";"2024-01-14"
"Lucky Lo";"Through The Eyes Of A Woman";"2VWI2oIJPPYvhCgkE3ntcY";"278";"2023";"37";"2024-01-14"
"Maple Glider";"Dinah";"2aSeneCZu4oCo9KgpCaqw2";"169";"2023";"37";"2024-01-14"
"KNOWER";"Crash The Car";"2iE3FLUWvdD2hYiPM4TuLM";"336";"2023";"39";"2024-01-14"
"Juliana Hatfield";"Telephone Line";"4l3d1YaUCs37qWLiBva2y0";"284";"2023";"30";"2024-01-14"
"Julie Byrne";"The Greater Wings";"5K7xeYoKdOv0JHNddosDw7";"205";"2023";"45";"2024-01-14"
"The Sundays";"Here's Where the Story Ends";"5gSHlT2SI0dtjeHrjj96A1";"230";"1990";"60";"2024-01-14"
"Johnny Duncan";"Last Train to San Fernando";"0q57v4hN3Moyld6WdBieX6";"149";"1957";"38";"2024-01-14"
"Joe Jackson";"Why Why Why";"0NRSq8hkmczZpKjJ3odtmj";"276";"2023";"27";"2024-01-14"
"America";"Ventura Highway";"4IU1RL4BKvFyXtbTwaHAvW";"211";"1972";"74";"2024-01-14"
"Andrew Bird";"Mancey";"0ruUy4l849hh85BBvn34Y8";"296";"2023";"39";"2024-01-14"
"Nancy Sinatra";"Some Velvet Morning";"36EKCiUoj6onFAU6dQ6A1c";"220";"2021";"51";"2024-01-14"
"The Beatles";"Because - Remastered 2009";"1rxoyGj1QuPoVi8fOft1Kt";"166";"1969";"60";"2024-01-14"
"Pretenders";"I Think About You Daily";"1sepuHn7ahd0kI6yAn9IYo";"385";"2023";"27";"2024-01-14"
"Ed Harcourt";"Strange Beauty";"5OaviJUmslJrXzJWKpsKWx";"277";"2023";"30";"2024-01-14"
"The Mamas & The Papas";"Dedicated To The One I Love";"1mFrjW8e8fuAOowlU3Q3Dr";"179";"1967";"66";"2024-01-14"
"Susan Christie";"Rainy Day";"5EcJVGwKFhAu7bER8xsPFS";"190";"1969";"34";"2024-01-14"
"KNEECAP";"Better Way To Live";"1ifVrAQPH2DZ3FBFu48rFw";"181";"2023";"52";"2024-01-14"
"The Breeders";"Drivin' on 9";"4gxKVUQyfkIbO6WuET4HlW";"202";"1993";"50";"2024-01-14"
"FIZZ";"Close One";"4mL3gs1HONGGLaZyW6OYMq";"236";"2023";"50";"2024-01-14"
"Leonard Cohen";"Coming Back to You";"14jpNd0RHKKnIbepofxTJO";"213";"1984";"44";"2024-01-14"
"BC Camplight";"The Last Rotation Of Earth";"07MmMkkxvMpcc9uvfjj46i";"249";"2023";"41";"2024-01-14"
"Roy Harper";"Another Day";"7KvayxfEhNfXb7UJge6jVw";"179";"1970";"30";"2024-01-14"
"Timber Timbre";"Ask The Community";"1GjrBxzdaPFYGNll25pfAr";"203";"2023";"38";"2024-01-14"
"Muireann Bradley";"Richland Woman Blues";"1vE8pWGRl32PDFMxAfqMdw";"267";"2023";"42";"2024-01-14"
"The Polyphonic Spree";"Section 44 (Galloping Seas)";"3GMHtdsHa0sMKbJ4RYD0gA";"384";"2023";"32";"2024-01-14"
"Fairport Convention";"Fotheringay";"21FmChQe4DdylUfu57DETQ";"184";"1969";"37";"2024-01-14"
"Nick Lowe";"The Beast in Me";"5l5xZEbalfnWdsSlqNa2Mx";"148";"1994";"42";"2024-01-14"
"Peter One";"Sweet Rainbow";"3uFjMR6c3fmF6Us3phdVWI";"246";"2023";"41";"2024-01-14"
"Allison Russell";"The Returner";"4jYZSSA45xDLnQvIUConFB";"231";"2023";"48";"2024-01-14"
