"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Eric Cantona";"The Friends We Lost";"0sonClwqDTSm6v7gb3noNM";"213";"2023";"32";"2023-12-03"
"Vashti Bunyan";"Train Song";"4vjwJYofHEFn5WfloEbtrr";"135";"2004";"33";"2023-12-03"
"Jackson C. Frank";"Milk and Honey";"4Id14rLG3gtnGIn8SE4okq";"217";"2001";"45";"2023-12-03"
"Joan Baez";"Don't Think Twice, It's All Right";"3ORn0rgu27z7hlnNgvYWse";"190";"1970";"46";"2023-12-03"
"Pink Floyd";"If - 2011 Remaster";"6DZu1SbSDq0TNXU2wyVb4F";"271";"1970";"45";"2023-12-03"
"Paul Giovanni";"Willow's Song";"22WeMgUZlf31eftlE3uIpg";"283";"1973";"37";"2023-12-03"
"Anton Newcombe";"Bringing Murder to the Land";"4KDq2wW3ZdrUmwMVzoiEXx";"212";"2021";"34";"2023-12-03"
"Sun's Signature";"Underwater";"3VPYYPGOIRpxXiyA3IJofb";"406";"2023";"35";"2023-12-03"
"Supertramp";"Easy Does It";"1Guzg2htAsEghkxcYXcQKg";"139";"1975";"61";"2023-12-03"
"Laura Nyro";"Wedding Bells Blues";"12Y4cfgtlU81OAHXbzde32";"161";"1973";"30";"2023-12-03"
"Elements of Pop";"Both Sides Now";"6zuIaKrxvFUO6QeR0japEg";"345";"2017";"34";"2023-12-03"
"Nick Drake";"Rider On The Wheel";"4jLxvHa0g3kZV24TuUyOMB";"158";"2004";"45";"2023-12-03"
"The Chieftains";"The Magdalene Laundries";"2tUzZiFwDCpIx6Hfa8ofoW";"298";"1999";"46";"2023-12-03"
"The Last Dinner Party";"Nothing Matters";"3p84R45PM75ngq8XRoe45o";"182";"2023";"69";"2023-12-03"
"Claudine Longet";"Let's Spend The Night Together";"1NwRaobdFzY3fCDwgYmq7C";"235";"1972";"33";"2023-12-03"
"Bridget St John";"Ask Me No Questions";"4NoyGOzW4I5theS5rZzApD";"469";"1969";"33";"2023-12-03"
"Yoko Ono";"Nobody Sees Me Like You Do";"7aPINKQJbQMZyYBwEFFaW7";"237";"2007";"34";"2023-12-03"
"CMAT";"Where Are Your Kids Tonight? (feat. John Grant)";"4oE6YtwKmwCB08clfvwOnj";"326";"2023";"50";"2023-12-03"
"Scott Walker and the Walker Brothers";"Joanna";"2wpDUV04r6ib6wZYiQXNqa";"231";"1969";"14";"2023-12-03"
"Matthews' Southern Comfort";"Woodstock";"3RMks55MQuoQiR6uqPHaW4";"268";"1997";"36";"2023-12-03"
"Patti Smith";"Dancing Barefoot";"4kPSjEg8u1U4pg2dHHMmtf";"257";"1979";"61";"2023-12-03"
"Julee Cruise";"Rockin' Back Inside My Heart";"7kOSSHSBmQ0Y0668lpUNV1";"349";"1989";"45";"2023-12-03"
"Bill Ryder-Jones";"This Can’t Go On";"0CEu04hu3fLbSU7jetOjJq";"270";"2023";"39";"2023-12-03"
"Harry Nilsson";"Dayton Ohio 1903";"4nhpxeFxGQtMZTK0ojcHF3";"113";"1970";"33";"2023-12-03"
"David Byrne";"Glass, Concrete & Stone";"5JJRxktdvtSjN3AeITJNCs";"254";"2004";"51";"2023-12-03"
"Pink Mountaintops";"I (fuck) Mountains";"2aF3EoW7mBLheq6r9s1I3z";"282";"2004";"41";"2023-12-03"
"The Turtles";"You Showed Me";"7j1ABZOylWUPUIZTt5x6AL";"196";"1968";"49";"2023-12-03"
"The Association";"Never My Love";"2cwjS2UkebBgXfQgUZvr4W";"191";"1968";"50";"2023-12-03"
"Cass Elliot";"Dream A Little Dream Of Me";"3cOWCcBKwiwUs5PCYirwMI";"221";"1968";"47";"2023-12-03"
"Grant Lee Buffalo";"Mockingbirds";"5x19KF85NUG8HvzvKG0HNk";"280";"1994";"48";"2023-12-03"
