"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"CMAT";"Where Are Your Kids Tonight? (feat. John Grant)";"4oE6YtwKmwCB08clfvwOnj";"326";"2023";"50";"2023-11-26"
"Claudine Longet";"Let's Spend The Night Together";"1NwRaobdFzY3fCDwgYmq7C";"235";"1972";"34";"2023-11-26"
"Kath Bloom";"Come Here";"2A1bDBDHoKTTmyALQJ7zqU";"171";"2006";"47";"2023-11-26"
"The Motels";"Total Control";"6H1Kjxu2NlJCMxg0Pay0Rd";"354";"1979";"50";"2023-11-26"
"Jeff Alexander";"Come Wander with Me";"5b2Zf1kc0M7KNfCnBV4vWO";"175";"2005";"47";"2023-11-26"
"James Ray";"I've Got My Mind Set on You";"5N61CLLUAQiC12ioQftURl";"207";"1960";"47";"2023-11-26"
"Slowdive";"kisses";"7LuPjGUfJqxuW14W4gMrU2";"237";"2023";"62";"2023-11-26"
"The Breeders";"Drivin' on 9";"4gxKVUQyfkIbO6WuET4HlW";"202";"1993";"50";"2023-11-26"
"Mazzy Star";"Halah";"6JuEshIRliNXRU1LXctRjZ";"196";"1990";"66";"2023-11-26"
"Nicky Hopkins";"Waiting For The Band";"5CxubIDB71F4yvf49rTrYr";"136";"1972";"31";"2023-11-26"
"The Velvet Underground";"Stephanie Says";"341b9JIDHZ3oaMVNwS0OsA";"169";"1985";"56";"2023-11-26"
"The Turtles";"You Showed Me";"7j1ABZOylWUPUIZTt5x6AL";"196";"1968";"48";"2023-11-26"
"Paul Giovanni";"Corn Rigs";"18iNJ2QrHgFTr5a1VxYc7J";"157";"1973";"31";"2023-11-26"
"Sun's Signature";"Golden Air";"6yqjhpToIqTYlkO7dFfA9f";"343";"2023";"26";"2023-11-26"
"Art Garfunkel";"Waters of March";"0bgtlqjzKW4KXufOlzGsKT";"219";NA;"50";"2023-11-26"
"The Zombies";"The Way I Feel Inside";"69GPTeIbtyU1Vd1NPYX95k";"109";"1965";"55";"2023-11-26"
"Patti Smith";"Dancing Barefoot";"4kPSjEg8u1U4pg2dHHMmtf";"257";"1979";"61";"2023-11-26"
"Supertramp";"Easy Does It";"1Guzg2htAsEghkxcYXcQKg";"139";"1975";"62";"2023-11-26"
"Vangelis";"One More Kiss, Dear";"7CKz0xDkXuPdW3xEQ4NUS9";"240";"1994";"50";"2023-11-26"
"Julie London";"Cry Me A River";"7f6AAixCrVar1ZY7RPHDfM";"179";"1955";"61";"2023-11-26"
"The Sundays";"Here's Where the Story Ends";"5gSHlT2SI0dtjeHrjj96A1";"230";"1990";"59";"2023-11-26"
"The Association";"Never My Love";"2cwjS2UkebBgXfQgUZvr4W";"191";"1968";"50";"2023-11-26"
"Chris Bell";"You And Your Sister - Single Version";"7krjPZIevdFnSlU4fqmrGS";"190";"2017";"27";"2023-11-26"
"The Stranglers";"Strange Little Girl";"28mP2vfW3oGYmxE0slVqia";"161";"1981";"49";"2023-11-26"
"James Carr";"The Dark End of the Street";"5vWMCGVeGxp3PEdvpDN3a0";"154";"1968";"52";"2023-11-26"
"Paul McCartney";"Every Night - 2011 Remaster";"7zE7VClzAEYa9nUDC950pT";"153";"1970";"58";"2023-11-26"
"Matthews' Southern Comfort";"Woodstock";"3RMks55MQuoQiR6uqPHaW4";"268";"1997";"36";"2023-11-26"
"This Mortal Coil";"You And Your Sister - Remastered";"6y234mJkt0DEh39NxZ4uZ6";"194";"1991";"43";"2023-11-26"
"Joan Baez";"Dida";"61DeyuTzi7aK1kcMpG2vxk";"215";"1974";"20";"2023-11-26"
"Pink Floyd";"If - 2011 Remaster";"6DZu1SbSDq0TNXU2wyVb4F";"271";"1970";"45";"2023-11-26"
