"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Vulfmon";"Letting Things Go";"5ua2M4ijwRgQy9xQKsGXzG";"152";"2024";"53";"2024-04-21"
"Labi Siffre";"Crying, Laughing, Loving, Lying";"28UWzdVYFe36w0GwDJlIwJ";"183";"1972";"57";"2024-04-21"
"Hozier";"De Selby (Part 1)";"78x3oT0wyvcm9GRmuAP6Vq";"220";"2023";"61";"2024-04-21"
"Florence + The Machine";"White Cliffs Of Dover (The New Look: Season 1 (Apple TV+ Original Series Soundtrack))";"6lr5FH80dzVN1mQpgnJB8n";"181";"2024";"47";"2024-04-21"
"Joni Mitchell";"Both Sides Now - Live at the Newport Folk Festival, Newport, RI, 7/24/2022";"57upfTI18EY3d5V0sv1WuC";"340";"2023";"34";"2024-04-21"
"Madison Cunningham";"Subtitles";"5eC8NnYiXta8Tv8dgbcLjq";"245";"2023";"33";"2024-04-21"
"Louis Cato";"Unsightly Room";"3fONC2Ec1cSjkh252jSn7V";"226";"2023";"34";"2024-04-21"
"Graham Nash";"Our House - Demo";"0vItJLwvxJzu5PPw6o62A6";"163";"1970";"52";"2024-04-21"
"Sarah Julia";"Cairngorms";"2d5gLLZEhhkwKpFR5akW0F";"253";"2024";"47";"2024-04-21"
"Lau Noah";"Lesser men would call it love";"6NGvppxmRkaDqwUhm2y8sB";"167";"2024";"25";"2024-04-21"
"MGMT";"Nothing To Declare";"0Bk6aJZrxihrnZEotFlfze";"213";"2024";"56";"2024-04-21"
"Hohnen Ford";"Send Me A Sign";"5PSjyo0CRmt1GYxqgQCD1l";"172";"2022";"33";"2024-04-21"
"Lorde";"Take Me to the River";"5vmYMS6FR2b7J57OG0Cscl";"264";"2024";"69";"2024-04-21"
"Jon Batiste";"Butterfly";"2aMFP9x0ZIkOVd0ZSl3zDI";"230";"2023";"53";"2024-04-21"
"The Decemberists";"Burial Ground";"1Xzyo31tkXB53PaRnPziLR";"245";"2024";"49";"2024-04-21"
"Beth Gibbons";"Floating On A Moment";"5ZBjVFfYDwj3TeIfDHLWLN";"326";"2024";"50";"2024-04-21"
"Sarah Jarosz";"Columbus & 89th";"7js9vrXTuU3fBIG2CyU3n5";"255";"2024";"39";"2024-04-21"
"Lake Street Dive";"Neighbor Song [Feat. Madison Cunningham]";"5t6reWfzf0aOeMgVijYRGS";"220";"2023";"42";"2024-04-21"
"Chris Brain";"Golden Days";"1c2z4XUT98reIuuUk3NoXc";"170";"2023";"32";"2024-04-21"
"St. Vincent";"Broken Man";"7ClwnN5j16cc6i5MqWFgHK";"202";"2024";"61";"2024-04-21"
"Helena Deland";"Bright Green Vibrant Gray";"6OvymCZ4OgIYA7MSXvPIsM";"220";"2023";"49";"2024-04-21"
"The Staves";"You Held It All";"1fUwBDxaOsD7fmwGasuKRC";"265";"2024";"26";"2024-04-21"
"Johnny Flynn";"Song with no Name";"5RwGVLCc4dHdnAGIZW3TbQ";"225";"2023";"41";"2024-04-21"
"Cara Dillon";"Clear the Path";"6qynpGwGR8C0jt9zEKZvsX";"256";"2024";"26";"2024-04-21"
"Jeremiah Fraites";"No Surprises (feat. Gregory Alan Isakov)";"2xx2eJ2JaKW5wE76vA2TRi";"257";"2024";"34";"2024-04-21"
"Pomplamoose";"Julie";"4aEgprS6F0i26HIeJudf8l";"225";"2023";"35";"2024-04-21"
"Marika Hackman";"No Caffeine";"1emvaO5ytjc0mZWqDjmig6";"192";"2024";"47";"2024-04-21"
"Sammy Rae & The Friends";"Coming Home Song";"5bEAOUXEbX0Eg9nZ7FcKCq";"201";"2024";"53";"2024-04-21"
"Hana Vu";"Care";"6egdXtpyZGrZwsaESnpHAi";"278";"2024";"56";"2024-04-21"
"Lizzy McAlpine";"Older";"059gVW493dUeBHkn0gE1zm";"201";"2024";"64";"2024-04-21"
