"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Margo Guryan";"Someone I Know";"02ORpnIVwRY29TBM4JUSht";"166";"1968";"38";"2023-08-27"
"Kay Johnson";"Walk Through The Valley";"1o6VmCpzVRxNv3mDD4S0nZ";"146";"1960";"33";"2023-08-27"
"Ketty Lester";"Love Letters";"7uqrG7OormbZVoLhFY9bLx";"157";"1961";"43";"2023-08-27"
"The West Coast Pop Art Experimental Band";"Eighteen Is over the Hill";"2hHI4KanprSsWQz6DBbwZz";"163";"1968";"42";"2023-08-27"
"Davie Jones and the King Bees";"Louie Louie Go Home";"2roYqGHPBiNeXo3xGjczHv";"130";"2023";"35";"2023-08-27"
"Damian Lewis";"Down on the Bowery";"6WSQwujc5IVVIOZwatiUBA";"249";"2023";"27";"2023-08-27"
"Pete Dello and Friends";"Do I Still Figure in Your Life";"1kmFFCdnkrhSCkmjiv7oQM";"160";"1971";"33";"2023-08-27"
"David Sylvian";"September";"1LxHpDkjD1u9yKKdh11wBq";"79";"1987";"43";"2023-08-27"
"Mose Allison";"Young Man's Blues";"3YB0DVr8wWLyZmGvnvkUdA";"84";"1963";"53";"2023-08-27"
"Soft Machine";"Priscilla";"1jnxRJSuS9QIfjRuzKOvIC";"63";"1968";"45";"2023-08-27"
"Lala Salama";"Summer Love";"2p2p3pexoXCNRZUnfo82Kt";"153";"2023";"28";"2023-08-27"
"The Free Design";"Kites Are Fun";"0xF78UJ2YuihovEnyobBaq";"155";"2020";"24";"2023-08-27"
"The Lounge Lizards";"Harlem Nocturne";"6TpZ9vYv48GTNnPKRFEdZd";"127";"1981";"35";"2023-08-27"
"Mason Williams";"Greensleeves";"4yR25IogNxZ2YJXhbfX6ST";"165";"1969";"25";"2023-08-27"
"Moondog";"High On A Rocky Ledge (feat. Marissa Nadler)";"6zRzxQYvykzpZBBNGLiqxv";"273";"2023";"34";"2023-08-27"
"Crosby, Stills & Nash";"Just a Song Before I Go";"4dAN7KcWCWx5jV6dpwtfvN";"134";"1977";"63";"2023-08-27"
"Nicolas Godin";"Orca";"4oEfv4ljcIHjU6xHFYEyGT";"142";"2015";"33";"2023-08-27"
"Noel Harrison";"Windmills of Your Mind - Remastered Version";"3GpqJYxHJICPUyYOFuPIYG";"141";"2003";"46";"2023-08-27"
"Vulfmon";"Alone Again, Naturally";"4zmJW5SgjcZx04xxJx5UBg";"212";"2022";"45";"2023-08-27"
"Bert Jansch";"The Bright New Year - 2015 Remaster";"1GghcQuuvzDIAVbdrpMNtc";"95";"1969";"33";"2023-08-27"
"Graham Nash";"Our House - Demo";"0vItJLwvxJzu5PPw6o62A6";"163";"1970";"49";"2023-08-27"
"Biff Rose";"Fill Your Heart";"0oqJTULPitDfXzhLypRLDH";"192";"1968";"32";"2023-08-27"
"Mad Anthony";"Rina";"0wXxHIYEEhPZ5aDRl0TaKi";"177";"2023";"33";"2023-08-27"
"Colourbox";"Sleepwalker";"5eVFV7ELbdqSGcip1jgaDD";"136";"1985";"30";"2023-08-27"
"YELLOW MAGIC ORCHESTRA";"DAY TRIPPER";"1uVET3qK6fcRSVuDAUNgBp";"161";"1979";"30";"2023-08-27"
"Fox Sinclair";"Dis Que Tu M'aimes";"4AmbxYEyd7mkM6AT3UVJo0";"216";"2023";"35";"2023-08-27"
"Tom Waits";"Yesterday Is Here - 2023 Remaster";"5jAtVdcDDAicM4aXcq23Pn";"152";"1987";"41";"2023-08-27"
"Peter Brötzmann";"Summer Rain";"5EvNYuU4NVuYMyLNo5BAmD";"123";"2018";"32";"2023-08-27"
"Nico";"I'm Not Sayin'";"4Dl6KHCxQeldHjja5mh3QP";"168";"1965";"23";"2023-08-27"
"Sagittarius";"Another Time";"0QuaUBEB6oVNiaXj8NJmCo";"160";"1997";"28";"2023-08-27"
