"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Badfinger";"Without You - Remastered 2010";"1VrIr1toXX6bOSdotodB71";"283";"1970";"48";"2023-12-17"
"The Motels";"Total Control";"6H1Kjxu2NlJCMxg0Pay0Rd";"354";"1979";"50";"2023-12-17"
"Frank Zappa";"The Closer You Are";"6k6vrptMbZBWqcQqmVtDkZ";"182";"1984";"31";"2023-12-17"
"The Roches";"Come Softly to Me";"0rPLLyaJFiHzPac4eeHbtH";"182";"1985";"32";"2023-12-17"
"The Breath";"Land of My Other";"5eQc7tNv6g4WyRFGc9DBKZ";"214";"2023";"32";"2023-12-17"
"The Zombies";"Summertime";"49TIT8O6KR9rdfgVBwdbac";"138";"1965";"59";"2023-12-17"
"The Lovin' Spoonful";"Didn't Want To Have To Do It";"257YFNPcDJUp8c7v1q8hPp";"156";NA;"43";"2023-12-17"
"Aretha Franklin";"Let It Be";"3lv9TUA15PFRHtMaPhjKKj";"210";"2007";"58";"2023-12-17"
"Jane Birkin";"Harvest Moon";"7sx41M0GEQPLMYt3FjCnSw";"185";"2006";"55";"2023-12-17"
"Fred Neil";"Everybody's Talkin'";"5yZzLyY9SMI3ZjdqpXWYDp";"165";"1966";"45";"2023-12-17"
"Odetta";"Every Night";"4zEyzhp2m7NxfluZXQzogq";"189";"1970";"33";"2023-12-17"
"Bill Fay";"Love Will Remain";"5Qfx0nZ1puRWvXdBoXjneE";"145";"2020";"32";"2023-12-17"
"The Velvet Underground";"Stephanie Says";"341b9JIDHZ3oaMVNwS0OsA";"169";"1985";"56";"2023-12-17"
"Carole King";"Come Down Easy";"4WhYHtwrNzjloBMdLOeK4o";"186";"1972";"33";"2023-12-17"
"Neil Young";"Journey Through the Past";"73uAQw29X3mrO1taWZaOvm";"142";"2014";"58";"2023-12-17"
"Kath Bloom";"Come Here";"2A1bDBDHoKTTmyALQJ7zqU";"171";"2006";"48";"2023-12-17"
"Ace";"How Long";"6Wgst4P9SOnc6WGLtfTb1z";"204";"1974";"63";"2023-12-17"
"J.J. Cale";"Magnolia";"43sdRsmJFcSnlTWTVRhYtz";"204";"1972";"58";"2023-12-17"
"Art Garfunkel";"Waters of March";"0bgtlqjzKW4KXufOlzGsKT";"219";NA;"50";"2023-12-17"
"The Cranberries";"Pretty";"3mayeyaPg5DQGBa78LJM59";"136";"1993";"58";"2023-12-17"
"Judy Collins";"Both Sides Now";"2xSfwtV4mUr2h63Q1zJH58";"196";"1967";"53";"2023-12-17"
"The Kinks";"This Strange Effect (Live at Aeolian Hall, 1965)";"1d1ecarY2bBa2orOcHFCIa";"154";"1965";"45";"2023-12-17"
"This Mortal Coil";"You And Your Sister - Remastered";"6y234mJkt0DEh39NxZ4uZ6";"194";"1991";"43";"2023-12-17"
"Shuggie Otis";"Strawberry Letter 23";"4W8IEREeLldaSQyGXcZQ2I";"240";"1971";"61";"2023-12-17"
"Peter, Paul and Mary";"Don't Think Twice, It's All Right";"7IsXXgpowAB48crGjV1oGb";"196";"1963";"58";"2023-12-17"
"Louis Armstrong";"We Have All The Time In The World - Remastered";"0OAnoLrIVxpdne3mkVLrwr";"196";"2003";"57";"2023-12-17"
"Julie London";"Yummy, Yummy, Yummy";"3UqjrFV1Tq9MMTtA74oDji";"178";"1968";"31";"2023-12-17"
"Ralph McTell";"Summer Lightning";"0VeesmUPyiWu0oKkYxmmBU";"154";"2010";"31";"2023-12-17"
"Mazzy Star";"Halah";"6JuEshIRliNXRU1LXctRjZ";"196";"1990";"67";"2023-12-17"
"Paul McCartney";"Every Night - 2011 Remaster";"7zE7VClzAEYa9nUDC950pT";"153";"1970";"59";"2023-12-17"
